"","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Cyprus","2989.65","2362.40","2093.06","2020.73","1773.41","1649.41","1596.21","1873.89","1916.32","1899.37","2114.67","2045.29","2105.48","2155.25","1694.27","1474.02","1366.02","1286.97","1145.06","890.48","782.16","750.52"
"Czechia","2498.52","2119.27","1803.05","1753.20","1525.35","1384.66","1314.84","1516.06","1514.01","1515.82","1654.51","1516.05","1442.24","1449.34","1110.18","942.12","852.65","746.33","640.66","497.74","388.54","342.92"
"Democratic Republic of the Congo","22.32","21.25","19.86","17.88","18.75","19.91","19.13","18.79","15.87","13.63","12.28","12.54","13.18","15.90","11.98","10.77","8.89","8.14","6.28","4.34","5.65","18.20"
"Denmark","7382.21","6442.40","6058.83","6232.72","5834.02","5624.33","5531.88","6466.90","6334.42","6168.34","6438.21","6171.29","6221.69","6137.78","5468.38","4778.89","4442.75","4194.87","3607.04","2895.81","2602.64","2496.05"
"Djibouti","87.75","62.75","62.31","64.48","65.56","69.80","80.65","66.44","61.39","65.70","62.67","56.37","57.58","56.53","55.78","53.82","45.58","40.43","46.68","39.82","33.87","35.74"
"Dominica","482.43","420.02","442.51","484.52","404.61","421.32","398.52","394.67","387.08","408.77","388.87","370.31","354.45","336.35","293.62","271.50","263.90","253.98","243.10","227.22","231.98","259.65"
"Dominican Republic","416.90","354.09","346.51","327.90","337.61","329.11","322.95","313.46","303.38","305.44","295.19","271.27","238.27","230.51","191.22","162.94","169.97","105.84","105.31","153.86","144.17","139.00"
"Ecuador","494.31","471.88","484.37","494.71","470.80","450.83","466.24","435.51","416.34","389.76","342.38","288.67","245.96","232.88","194.38","190.64","168.73","150.59","132.74","97.78","71.56","48.38"
"Egypt","179.68","150.91","145.31","120.22","107.99","145.28","173.52","158.21","142.60","142.76","118.70","107.42","101.22","92.33","75.13","68.03","60.99","51.60","51.60","65.59","70.37","71.04"
"El Salvador","442.21","354.49","377.03","345.05","335.74","337.27","329.44","312.87","321.83","298.73","293.37","268.67","255.38","251.83","238.63","230.50","223.97","184.88","170.79","166.13","161.76","155.13"
